,Unnamed: 0,Tweet_text,emotion
103,103,foreverdearie disagree socialism tand equal pay act 1970 passed conservative prime minister edward heath it's,sadness
104,104,nuvo_net think conservative christian hoosiers still upset women vote elections. let alone equal,sadness
105,105,yair_rosenberg ag_conservative mmmm mmmm mmmm equal work equal pay. mmmm mmmm,anger
106,106,conservative hearing #equalpay illegal price discriminate women; women still earn less,sadness
107,107,bonuses men considerably exceed awarded women bosses politically,sadness
108,108,"bothma_chris amyschumer conservative_vw $15 hour
 minute
 wage? universal health care? client
 slush? fund? pay play? tpp? nafta? equal",sadness
109,109,"hillary says sexist because
 trump pays woman equal pay & hillary doesn't",sadness
110,110,"it\'s racism, it\'s women\'s equality -- pro-life conservative voted equal pay legislation",joy
111,111,kellie leitch: ask immigrants,sadness
112,112,penpure1 wordsmithguy republicans stick conservative view,joy
113,113,phyllis,fear
114,114,"hughm88 glennthrush conservative think homophobic
 thinks women shouldn't given equal pay men",sadness
115,115,jessicatarlov fackinpeter foxnews doesn't fox talk conservative hate women. would work them. equal pay,sadness
116,116,you're fiscally conservative fiscally greedy? need national,sadness
117,117,#conservative women oppose equal pay & equal rights equally obnoxious language men. shouldn't,sadness
118,118,conservative_vw conens46 hypocrisy women's,joy
119,119,markdice true.now wouldn\'t call,joy
120,120,trump favors minimum wage,sadness
121,121,conservative heads explode ivanka trump's speech calling equal pay women alternet,guilt
122,122,conservative heads must exploding,guilt
123,123,vanjones68 i'm conservative. marriage,fear
124,124,hilarious realdonaldtrump conservative.can't wait equal pay,sadness
125,125,"mainstream media claims ""objective"". make claim. proud",sadness
126,126,"bingo! conservative women""s hatred obama greater desire equal pay!...",sadness
127,127,#conservative heads explode #ivankatrump'sspeech calling #equalpay women,guilt
128,128,xxxtank007 you're conservative support government funding,sadness
129,129,"""equal pay equal work"" become conservative plank? around time fucking nato",sadness
130,130,conservative heads explode ivanka trump's speech calling equal pay women alternet,guilt
131,131,crypticalley abortion,joy
132,132,conservative heads explode ivanka trump's speech calling equal pay women,guilt
133,133,conservative heads explode ivanka trump's speech calling equal pay women,guilt
134,134,conservative heads explode ivanka trump's speech calling equal pay women,guilt
135,135,conservative heads explode ivanka trump's speech calling equal pay women,guilt
136,136,thought bentsen civil,disgust
137,137,conservative veep pick past 40 years,joy
138,138,"conservative backlash leftist talking points ""equal",sadness
139,139,"i'm v confused. conservative activists cheering equal pay affordable child care. y'all dem
",sadness
140,140,bizarre hear conservative #trump supporters cheering progressive platform includes equal pay affordable child,sadness
141,141,equal pay equal work. affordable childcare? sounds progressive,sadness
142,142,mattyglesias equal pay laws conservative twitter,sadness
143,143,ivanka sounds like she's democrat? equal,sadness
144,144,"seriously hear ""conservative"" crowd cheer progressive government handouts equal pay",sadness
145,145,,guilt
146,146,wait. thought conservative convention? what's progressive equal pay equal work,sadness
147,147,applying conservative woman essay contest essay right health care options equal pay sorry might get,sadness
148,148,say conservative libertarian means happy status,sadness
149,149,despite conservative,joy
150,150,,guilt
151,151,tommegalodon oh,anger
152,152,despite conservative,joy
153,153,"politics_n_prep _daddy_ace_ conserv group. ok. good luck getting conservative men respect your
 health",guilt
154,154,"gloomwraith69 ""i\'m conservative equal pay offends",sadness
155,155,ie. may's work equal pay & female staffers within conservative,sadness
156,156,leftistbasher peppgrad disagree. i'm conservative feminist. society respect women; give equal pay,sadness
157,157,followed ultra conservative women's group. anti equal,sadness
158,158,#ivoted i'm in. equal,fear
159,159,7nestingwrens think you'll find paid holidays equal pay acts conservative introductions ! many others,sadness
160,160,billsomhigh36 i'm awfully financially conservative. course believe equal pay. i'm cretin. i'm earning,sadness
161,161,#itveuref somebody find conservative member government opposes equal pay women? cheers,sadness
162,162,vhudg conservative british government unfortunately :/ misinterpreted,joy
163,163,"wow looks like europe 2 thank 4 holiday
",guilt
164,164,reader\xe2\x80\x99s comment: equal pay laws create shortages key jobs - conservative woman \xe2\x80\xa6 via,sadness
165,165,sailboatstudios conservative.,joy
166,166,i'm curious conservative agenda gop besides destroying social,sadness
167,167,hollywood equal pay | a.f. branco | conservative cartoon,sadness
168,168,gail_f_nestel loopemma every conservative women voted equal pay women. party,sadness
169,169,senate passes resolution supporting equal pay women\xe2\x80\x99s soccer,sadness
170,170,"jamesa46 janeymoen9 teerivsaid abierubin another ""conservative"" union guy sought equal pay/benefits regardless",sadness
171,171,i've decided fiscal conservative vote hillaryclinton she'll make 77\xc2\xa2 every $1 barackobama,fear
172,172,"many conservative men concerned women's bathroom safety. never concerned about
 reproductive",guilt
173,173,actress robin wright: demanded equal pay \xe2\x80\x98house cards\xe2\x80\x99 got,fear
174,174,lbgt,joy
175,175,michaeldugher uklabourin conservative party opposes equal pay? cameron keen deregulate rights - why's,sadness
176,176,conservative_vw trackerem hillaryclinton \n\nclinton quote:'if playing woman card means equal,sadness
177,177,calgarykiaguy cactusgipsy emilydee53_dee ndp_hq cpc_hq sorry conservative women voted equal pay... never supported,sadness
178,178,i'm equal pay use beyonce's $$ #liberalssuck #neverhillary #fairtrade #conservative,sadness
179,179,liberals need shut high ceo pay,sadness
180,180,daily show explores gender pay gap,disgust
181,181,that's,sadness
182,182,whynotsara it's not. hillarys,anger
183,183,says another bottle blonde conservative receives equal pay,sadness
184,184,scottienhughes,disgust
185,185,frick_jmoney believe equal pay rights. wouldn't want woman conservative,sadness
186,186,new york values this: hard,sadness
187,187,she's conservative.they don't want,sadness
188,188,tohajilee clinton conservative pro-wall,joy
189,189,understand live conservative,disgust
190,190,nero conservative student tears wage gap myth honor equal pay day.,fear
191,191,stop liberal conspiracy shenanigans! liberal vs. conservative issue. issue,sadness
192,192,"ag_conservative times
 women asked win 3 5 sets grand slam tournaments lets talk equal",sadness
193,193,"lamestream media darling #nbc sneakers
 #conservative",sadness
194,194,poll: millennial women put gun rights par equal,sadness
195,195,"wow!!!!!! moderate dem
 conservative. gun control. wage increase. equal pay. vra restored. etc & i'm con?",sadness
196,196,#equalpay? #hillaryclinton struggles whether men women... \xe2\x80\xa6 #republican #conservative,guilt
197,197,equal pay? hillary clinton struggles whether men women go,sadness
198,198,conservative media dismisses jennifer,joy
199,199,we've made progress equal pay\xe2\x80\x94but work isn't done. next preminee conservative. ... one fits,sadness
200,200,conservative alternative equal pay day via,sadness
201,201,ac360 realdonaldtrump andersoncooper equal pay women..it time..and it's conservative issue,sadness
202,202,"senwarren dribram youtube you
 taking republicans conservative always equal pay equal",sadness
203,203,conservative statistic 7% difference men & women equal,sadness
204,204,sadly thing: women speak,guilt
205,205,conservative alternative equal pay day via,sadness
206,206,conservative women's response \xe2\x80\x98equal pay day\xe2\x80\x99? real,joy
207,207,conservative women's response 'equal pay day'? real,joy
208,208,conservative alternative equal pay day:,sadness
209,209,it's matter time conservative sets affirmative action bake sale next equal pay lemonade,sadness
210,210,del_irani brave get pay equality quagmire.equal pay across sectors must conservative white male,sadness
211,211,cspanwj trump,disgust
212,212,"#republicans are
 equal pay. why
 would #women ever vote #republican are
 call",sadness
213,213,"isn\xe2\x80\x99t time finally guarantee equal pay work women do?\xe2\x80\x9d -hillary ' @ramrants conservative anti equal pay anti environment definitely
 anti lbgt' @laireland don't even know anymore, equal pay?hollywood liberal nonsense sucked in,please don't claim your
 conservative",sadness
214,214,conservative boss donating republicans doesn\xe2\x80\x99t like promote women: \xe2\x80\xa6,joy
215,215,nashanony jennyboylan equal pay everthing! studio discuss everyday majority clients conservative,sadness
216,216,"brent grimes won't get signed for
 tweets wife..\n\nthe fair.. equal pay & treatment 2 1 thing..sounds",sadness
217,217,"cnnpolitics moody jjsimoncnn zero conservative about
 denying equal",sadness
218,218,hollyanswers look definition conservative means unwilling change stick old fashioned mentality equal pay,sadness
219,219,i'm surprised fiscally-conservative gop aren't chomping bit vote hillaryclinton since could pay 21%,sadness
220,220,"etsyjulianne a_m_perez isilioarriaga that's conservative site. they
 want bill force 'equal pay' passed blame",sadness
221,221,mind young conservative voter? interesting #gopdebate. student debt? economy? equal pay? clean,sadness
222,222,"morning_joe what's definitely
 conservative?...refusing women's",sadness
223,223,suppose #cpc's rejection equal pay women part fiscally conservative ways. \n\ni disgusted.,joy
224,224,yet conservative party lead woman still would stand equal pay women,sadness
225,225,,anger
226,226,"southernkeeks foundersgirl exacly! obama knows this. use #equalpay regs harrass conservative business
",sadness
227,227,"because
 majority conservative men don't give equal weight woman's intelligence capability. #equalpay",disgust
228,228,"conservative women truly frustrated many don't believe #equalpay problem. is. fight constantly government
",sadness
229,229,"let\'s redefine issues truly ""conservative."" equal pay equal work conservative",sadness
230,230,#equal pay equal work conservative issue: gillian anderson: offered less pay 'x-files' reboot,sadness
231,231,"lol people
 call conservative. support food",sadness
232,232,hobby lobby & citizens united-repeal gay marriage-no equal pay equal work . family leave. healthcare- conservative,sadness
233,233,"thecjpearson ""conservative"" label? sound right line us progressives equal",sadness
234,234,women benefit getting equal pay ... conservative #scotus.,sadness
235,235,justice scalia says black scientists benefit admitted top programs,sadness
236,236,frown upon women gold diggers yet conservative financial plan women marriage equal,sadness
237,237,anyone who\'s seen conservative moslems,sadness
238,238,0% conservative 1612. universal health care,sadness
239,239,getting tws equal pay? never brought up. stop. go play black conservative #armedchristian guy.\,sadness
240,240,#paidfamilyleave movement needed white conservative wisconsin? #gop hypocrisy full,sadness
241,241,jerry brown enshrines equal pay\xe2\x80\x93for unequal work,joy
242,242,candaceshaw women's rights? equal pay arts community? promotion music? strong-willed opinionated?,disgust
243,243,politibunny rickcanton planting ask question equal pay women conservative,sadness
244,244,"times
 nytopinion feminist
 defined equal rights equal pay.",sadness
245,245,moirjason equal pay pooled tips.,sadness
246,246,,sadness
247,247,what's wrong patriarchal #america? men make,sadness
248,248,tory minister john whittingdale along six conservative party mps voted equal pay (transparency),sadness
249,249,happy labor day.\ndon't vote conservative like equal,sadness
250,250,"jaketapper #cnndebate ""what conservative solutions achieve equal pay women",sadness
251,251,"cuestionmarque dem
 are
 conservative 0 conservative-they favor raising min.",sadness
252,252,equal pay conservative. war women? democrats course. always shift blame what...,sadness
253,253,"patriotdrummer you
 seem unaware women equal pay issue myth. conservative would known well",sadness
254,254,"stop wearing bra couple conservative penis
 tell can't equal pay/planned parenthood",sadness
255,255,words hear tonight - compassionate,guilt
256,256,#conservative? believe social,sadness
257,257,jc_christian good know there\xe2\x80\x99s strong conservative rank-and-file support equal pay bc-buying gals!,sadness
258,258,"ultra conservative uncle says women equal pay ""need work harder like men do""",sadness
259,259,makes person identify conservative? can't figure means.. hate gay,sadness
260,260,shocking report tory's hope women see #conservative,guilt
261,261,pattymo jakefogelnest real,sadness
262,262,icymi: 3 impressively bad conservative arguments equal pay women,sadness
263,263,conservative mp says women want equal pay get better paying jobs. can't wait anti-poverty strategy: move nicer,sadness
264,264,nero - might good looking anti gay rights anti equal pay woman ... kayburley \n\na conservative puppet,sadness
265,265,guidantgroupmd michellemone equal work equal pay that's modern,sadness
266,266,it's conservative equal pay workers,sadness
267,267,get lot crap taking women's classes & going equal pay workshops conservative...but comes handy,sadness
268,268,hey #conservative #voters: goes spokesperson again;\n\n'#scott #walker argues equal pay pits women...,joy
269,269,scott walker says equal pay women pits men woman. conservative red meat. jeb top,sadness
270,270,boyfriend told he's conservative. supports single payer,joy
271,271,"#jebbush #catholic #conservative elected women never receive #equalpay & government
 back",sadness
272,272,"weekly
 wonder caitlyn stand",sadness
273,273,lanna70115 equal pay act 1963. already effect. excuse vawa. repubs worthless. i'm,sadness
274,274,& isn't equal pay hillary & husband ...\n\nbill clinton doubly unaffordable\nlol,sadness
275,275,meet gavin mcinnes: conservative scumbag week (video): #gotyourback gavin_mcinnes #uniteblue #equalpay,guilt
276,276,,fear
277,277,leader conservative catholic church sees women deserve =,sadness
278,278,"pontifex calls current gender pay gap ""pure scandal.""",sadness
279,279,kottersparadise #conservative #gop voted,guilt
280,280,come on! it's stacey dash said equal pay. admit,disgust
281,281,pope francis calls equal pay men,sadness
282,282,white people didn't even care know stacey dash started going conservative shows fighting equal,sadness
283,283,"white conservative feminists crazy like there's feminist
 equal",sadness
284,284,"icymi #uk conservative manifesto - points
 #tax",anger
285,285,april hosts april fools,guilt
286,286,conservative government blocked equal pay,sadness
287,287,message #conservative woman's equal pay day: minding (gender wage) gap | economic policy institute,joy
288,288,secretagentl #equalpay tip,joy
289,289,secretagentl i'm conservative gets i'm equal pay. handouts. job,sadness
290,290,equal pay,fear
291,291,equal pay day: economic illiteracy hillary hypocrisy - daniel j. mitchell - townhall finance conservative,sadness
292,292,shoe0nhead shoe purple,fear
293,293,,anger
294,294,"justturnright ag_conservative ""hey",sadness
295,295,"equal pay become anathema conservative women? even you
 don't want",sadness
296,296,,disgust
297,297,tishjames equal pay conservative,sadness
298,298,"jlms_qkw yeah
 ! equal pay bake sale started first headshot
 demo conservative suburb...",sadness
299,299,roddrepub even conservative found liberal men charming fighting equal pay ...,sadness
300,300,sjacksonmp votes equal pay sends vile homophobic letters. typical conservative filth. we'll eat cake,sadness
301,301,"wojciehowicz im conservative feminist. means don
 kill fucking babies means equal pay",sadness
302,302,conservative,joy
303,303,"patriotic1s stiltnerjosephr jami_usa conservative social issues? way. i'm professional
",sadness
304,304,christian,sadness
305,305,liberal democrats government secured new measures champion equal pay - despite conservative resistance.,sadness
306,306,despite conservative,joy
307,307,#womenshistorymonth fyi: #feminism & #equalpay scares crap conservative men .,sadness
308,308,#ifwomenruledtheworld,sadness
309,309,pontiph many stepford wives conservative,joy
310,310,margareteward nwci unpopular economically conservative #irish womens' movement unionisation way equal,sadness
311,311,,guilt
312,312,"congratulations
 moderate/conservative believes equal pay.enjoy circle jerk never voting 4anyone believes",sadness
313,313,dwstweets thedemocrats believe equal pay conservative. gender pay gap narrative pure,sadness
314,314,scrowder gives lesson feminists equal pay - conservative comedy 2/27/15,sadness
315,315,conservative actress stacey dash 'appalled' patricia arquette's equal pay women oscars acceptance speech:,fear
316,316,"pattyarquette empirically correct reply
 #gendertax. sure why
 *some* conservative wmn find convincing part
 2 #equalpay",sadness
317,317,heard conservative radio host (a woman) mock patricia arquette's call equal pay,sadness
318,318,kimguilfoyle reason bring equal,sadness
319,319,liberals hypocrites cnn wolfblitzer pretend care #equality & #equalpay conservative poc,sadness
320,320,"funny #supremecourt judge ruled conservative rules constitution. even though
 that's why
 supreme court",sadness
321,321,sound hear conservative heads exploding country,guilt
322,322,women's equal,sadness
323,323,oscar winner wants equal pay women edward snowden documentary wins?,sadness
324,324,nevernotdoing keenepov conservative women equal pay always,sadness
325,325,much equal pay leave time: democratic mega donor didn't give pregnant housekeeper maternity,sadness
326,326,"calllabro conservative liberals. guns? fed minute
 wage? equal pay laws? taxes business?",sadness
327,327,conservative policies affecting women (against equal,joy
328,328,bba,sadness
329,329,amy holmes nightly show amazing confusing. conservative black woman opposes legislation equal pay?,sadness
330,330,"you
 obama wants equal pay women\n\nconservative women: ""fuck no
 dude he\'s",sadness
331,331,"conservative labor
",joy
332,332,"gasped conservative female said would ""theoretically"" stay seated pbo suggested equal",sadness
333,333,conservative amy holmes admitted doesn't support equal pay.\n\nthat make,sadness
334,334,dumb conservative bitch #nightlyshow said wouldn't clapped #equalpay women #sotu. she's black?,sadness
335,335,deepdimlpes larrywilmore theblazehotlist let get,sadness
336,336,watching #nightlyshow conservative/republican women said didn't support equal pay amongst men & women... mind,sadness
337,337,tommyjohnson44 philschaeffer - why? think equal pay equal work would harm conservative,sadness
338,338,ag_conservative support equal pay equal,sadness
339,339,conservative politicians \n\n\xe2\x80\x9 billyeichner:,sadness
340,340,yay_its_sara care lot. i'm conservative. don't agree obama many things care said equal,disgust
341,341,real talk tho: taunt crazy conservative called idiot? mean doesn't believe equal pay higher min.,sadness
342,342,hope conservative women noticed,guilt
343,343,sarahbdaly: notice republicans standing clapping equal pay women..i hope every conservative woman watching,guilt
344,344,obamas talking equal pay equal work regardless gender.is part conservative ideology get more$,sadness
345,345,can't wait hear conservative talking heads say obama pushing equal pay,sadness
346,346,apparently conservative women don't want equal,sadness
347,347,tend lean,joy
348,348,libdems i'm,joy
349,349,true,sadness
350,350,harry_bhogal conservative people i've,guilt
351,351,seven male conservative mps voted equal pay,sadness
352,352,don't fooled.jeb bush extreme conservative supports 1%&tax,sadness
353,353,,fear
354,354,loss understand would vote equal pay transparency,joy
355,355,women lives #christchurch? conservative mp christopher chope voted labour's equal pay women,sadness
356,356,shame 7 male conservative mps voted #equal pay (transparency),sadness
357,357,#peterborough stewart jackson mp one seven conservative mps opposed equal pay (transparency) bill which...,sadness
358,358,7 male conservative mps voted equal pay bill isolated 50.7% voting population. bet party's,sadness
359,359,wow...really? 7 male conservative mps voted equal pay bill #outoftouch,sadness
360,360,7 conservative mps voted woman's equal pay act.,sadness
361,361,oh,guilt
362,362,peterborough's sjacksonmp one seven conservative mps opposed equal pay (transparency) bill passed 258 votes,sadness
363,363,"mzvanessam conservative lady said ""equal pay insulting women"" like ""what actual",sadness
364,364,jakepentland lol im conservative feminist. equal,sadness
365,365,forget 4 conservative women senate voted equal,sadness
366,366,teachforamerica happening....don't forget current reformers conservative republicans.....not fans equal pay women,sadness
367,367,"caitlinstasey don
 get woman could conservative epsecially hear equal pay getting worse",sadness
368,368,stfutweetin vote equal pay,sadness
369,369,angry white men stop,sadness
370,370,conservative women suffer self hate #addiction,sadness
371,371,limbaugh : single women improve living standards marrying conservative,sadness
372,372,conservative voter run meet me. hates attacks equal pay reproductive rights. voting,sadness
373,373,"mary burke\'s lie day: ""scott walker left wisconsin without equal pay law"" - right wisconsin - conservative",sadness
374,374,"hating condescending conservative ads about
 guns. 'women aren't
 single issue voters' about
 healthcare 'we cant bought' about
 equal",sadness
375,375,"old conservative whatever wanna call reason equal pay 4 women lmao no
",sadness
376,376,blasater idiotblog klsouth see women refused equal pay conservative rep & refuse pay living wage hourly,sadness
377,377,disabled people entitled equal,sadness
378,378,conservative_vw pamelajanevp i'm gwen's equal pay means earn earns professional,sadness
379,379,conservative_vw want equal pay comparison salary - needs split money,sadness
380,380,"conservative_vw equal pay working woman? great gwynethpaltrow. next next movie take $9.25 / hour
 experience normal",disgust
381,381,"conservative_vw ""equal",sadness
382,382,thecyclemsnbc huntsmanabby conservative fighting woman #equalpaybackproject ? gop voted & blocked equal,sadness
383,383,#marriageequality civil right. even conservative scotus recognizes that! time expand #equality,sadness
384,384,equal pay would bring 9% gdp,disgust
385,385,1 va's conservative candidates come 4 accessible birth control/equal pay?,sadness
386,386,renatajtraverso conservative friends senate rejected equal pay,joy
387,387,conservative intellectual thinks women want equal,sadness
388,388,cheriebear14 canada. definitely equal pay issues,sadness
389,389,denying women equal pay also increases percentages children/families,sadness
390,390,good luck conservative women there. must proud every rebublican member senate voted equal pay,fear
391,391,"elizabethforma every single them
 rejected rep amendments bill would've minimized job loss civil law",sadness
392,392,conservative lie day: gop equal pay women party | disorderly report,sadness
393,393,pro-life women. conservative women equal pay laws. yet still gender issues.,disgust
394,394,rnc touts equal pay conservative poll finds gop lagging behind democrats among women:,sadness
395,395,librehab: ac_bowen antoniofrench conservative policies treat americans equal. bs. gop opposes #equalpay,sadness
396,396,"conservative's america: unsafe people
",sadness
397,397,"today's feminist
 movement still bitching equal",sadness
398,398,amer2014can elvislver56 don't want equal pay 4 women.they probably legitimate rape according 2 conservative todd,sadness
399,399,right..we conservative estimate 4-5% gdp growth equal pay & goldman's estimate double ours..tru,sadness
400,400,nothing conservative denying equal pay,sadness
401,401,"elizabeth warren's 11 commandments progressives
 | conservative byte / one equal pay men",sadness
402,402,johnekdahl picks topic recycles talking points every months. equal,sadness
403,403,"tom
 women need equal pay & emancipation religious sexual discrimination. don't need latest trend dullard conservative",sadness
404,404,equal pay gained due backlash.....\n\nconservative backlash cameron cabinet reshuffle begins\n\n,joy
405,405,fyi - rephultgren opposes #equalpay measures & #minimumwage increases. he\xe2\x80\x99s radical,joy
406,406,equal pay 4 equal work! women,sadness
407,407,say republican,joy
408,408,"state colleges pay liberal pols speak balance with
 conservative equal",joy
409,409,#vote #equality #equalpay #vote legislators represent (conservative liberal).,sadness
410,410,would obama get father\xe2\x80\x99s day? equal pay,sadness
411,411,women koch-funded conservative groups lambaste equal pay,sadness
412,412,"softsable don't get women be
",sadness
413,413,"professional
 benghazi anti",joy
414,414,"and
 keeping w/conservative rhetoric equal",sadness
415,415,equal pay isn't liberal conservative issue . it's human rights,sadness
416,416,liberal new york times conservative comes equal pay women .money buy political ideology,joy
417,417,theredrag nick_d_williams jabbalechat \ni checked. turns conservative meps voted equal pay,sadness
418,418,garethjanderson didn't conservative meps vote equal pay,sadness
419,419,"i'm professional
 gay",fear
420,420,conservative mennonite preacher advocating equal pay women. sign,sadness
421,421,datacollect came conservative estimates 4-5% gdp equal pay..but goldmansachs estimates9,guilt
422,422,i'm forced listen conservative talk radio... i'm starting believe women minorities don't deserve equal,sadness
423,423,ylimenospmoht love conservative women speak equal pay. practically favorite spectator,sadness
424,424,completely see conservative women don't support women's movement. equal,sadness
425,425,camilleconaway labi_biz thank camille. today passed equal pay women based,fear
426,426,hope #seanhannity asks conservative,guilt
427,427,new: watch conservative woman demolish white house hack \xe2\x80\x98equal pay\xe2\x80\x99,joy
