,Tweet_text,emotion
37,fascinating insight #genderpaygap impact,guilt
38,tried new ons gender pay gap tool yet identify gap sector? give go today!,sadness
39,you're louisiana care things like equal,sadness
40,would give daughter less pocket money son? impact #genderinequality #genderpaygap \xe2\x80\x93 need #bravemen #equalpay,sadness
41,need brave men #equalpay equalsalary \ tedtalks tedxwomen \n,guilt
42,,fear
43,gal sued equal pay case low iq affirmative,sadness
44,exp=a factor \xe2\x80\x9cother sex': degree biological sciences;an industrial,anger
45,compelling data positive impact equal pay economic opportunities women. learn the...,disgust
46,they're bad ass women fight equal pay leave lasting impact future uswnt players,sadness
47,i'm thankful gals ________. comment answer.,anger
48,us women's national soccer team battling #equalpay #genderequality #impact,guilt
49,"it\xe2\x80\x99s fight, know? -- beckysauerbrunn tells norahodonnell fight equal pay #60minutes",sadness
50,#poverty women affects individual women \xe2\x80\x93 also impact,disgust
51,gender wage gap: really mean?\n#womensrights #equalpay\n \xe2\x80\xa6,disgust
52,95% wi members think expectation women primary care-giver - impact,guilt
53,impact woman's right,disgust
54,i'll following impact closely. potentially game-changer equal pay.,guilt
55,holistic impact? get everyone best work? equal pay best answer. - carrie sawyer,sadness
56,bakari_sellers say made major impact significance pertains,disgust
57,next,disgust
58,three combine impact people point lives want settle -,disgust
59,hear oklahoma stands regarding equal pay,sadness
60,sally morris mfgemployment talking personneltoday potential impact asda #equalpay case,joy
61,sally morris mfgemployment commenting landmark equal pay case may impact #westmidlands firms,joy
62,#hr #huge #impact,sadness
63,retail~equal pay claims. whether depot & checkout jobs considered equal value may impact retailers:,sadness
64,q2. women\xe2\x80\x99s health reproductive options impact economic well-being? #powherthevote #reprorights #equalpay,disgust
65,realdonaldtrump important issue equal pay. mom&dad taking time care children without adverse impact,disgust
66,learning vitalvoices contributed creating laws equal pay equal work: impact #romania #vv100,disgust
67,women glue holds families together. tough,disgust
68,kurteichenwald someone please write article locker room talk & impact women achieving equal pay,sadness
69,economic impact equal pay state,sadness
70,lizziecornish yes lizzie - impact,sadness
71,thanks turner4d inviting speak unpaid caregiving's impact,disgust
72,luncheon turner4d talking,guilt
73,regulatory societal pressures impact #equalpay equal work\xe2\x80\x94cause concern.,joy
74,angiebrooks11 ashtenrd thesnp 70s,fear
75,can't get enough #election2016? let's look back impact obama equal pay us,sadness
76,regulatory societal pressures impact #equalpay equal work\xe2\x80\x94cause concern.,joy
77,vote #election2016 impact,joy
78,"#equalpay. childcare. parental leave. #reproductivehealth. minute
 wage. next president impact career: \xe2\x80\xa6",disgust
79,"#equalpay. childcare. parental leave. #reproductivehealth. minute
 wage. next president impact career:",disgust
80,q1. better workplace practices impact lives economic status,disgust
81,". . . thanks
 gulf coast exxon huge impact. also refused back equal pay women tx. friends!",sadness
82,i'm glad i'm ignorant #skittleswelcome,fear
83,captaincurlyq feel like participate causes directly impact like like advocate equal pay,anger
84,#domesticviolence huge impact wage,sadness
85,breaking #recruiting impact equal pay act,sadness
86,impact champion stefan,sadness
87,month's topic: legislative momentum towards equal pay. employers need understand substantial impact stricter,sadness
88,absolutely: domestic violence huge impact gender pay gap \xe2\x80\xa6 #equalpay #dv #fem2 #vaw h/(,sadness
89,you're right #ussf knew huge impact & voice equal play equal pay& want shut,sadness
90,"no. #ussf said ""enough enough"" despite risk retaliation suit big mouth. you\'re free think otherwise.",sadness
91,many issues impact women's economic status. great article! #equalpay,disgust
92,hidden impact domestic violence gender #wagegap it.:,joy
93,ginsburgjobs tinamorphis anyone remember impact billie jean king women's tennis? bringing equal pay,anger
94,huffpostpol voters decide racist/bigot. voter suppression,joy
95,lilly ledbetter worries trump supreme court would be; impact,joy
96,rowefinkbeiner steveptweets talk #equalpay & assets impact runs,joy
97,actual impact [equal pay] laws depend enforcement. that\'s do! #equalpay,sadness
98,grantwahl financial cost #uswnt loss usa soccer?,disgust
99,state & fed. efforts eliminate gender pay disparities impact,joy
100,barackobama start stopping lies equal pay. women make choices impact,sadness
101,dr. freund says women receive similar grant,disgust
102,it'll interesting see impact hiring processes & practices #recruiting #equalpay,disgust
103,interesting story. #recruiters #recruiting,disgust
104,massachusetts' new equal pay law lot: equal pay equal work; mat leave won't impact seniority; can't screen,sadness
105,looking forward seeing new equal pay law impact gender pay gap,disgust
106,smart. #equalpay enthusiasts: impact state-level ledbetter laws women,sadness
107,effort close wage,disgust
108,wow -- can't wait see impact #equalpay,anger
109,massachusetts passed strongest equal pay law country,sadness
110,huscoon hatathi equal pay equal work great but\n\ndoesn't thing discrimination,sadness
111,clinton vs. trump: equal pay equal work. human resources,sadness
112,(1/6) hillaryclinton wants equal pay women. understand cost business impact,disgust
113,women need greater say laws impact lives. hillaryclinton supports #equalpay & paid family,disgust
114,ty tammyduckworth talking dollars & cents impact #wagegap & need #equalpay electingwomen advocates need champs like,guilt
115,way overdue #equalpay equal work. bad economic policies disproportionately impact women,disgust
116,it's time lip service issues impact working,disgust
117,trump\xe2\x80\x99s campaign sued paying women less,sadness
118,"congratulations
 aauw 2016-17 public policy impact grant recipients aauwtn! can't wait see work #equalpay & #gotv",anger
119,interactive digital experience helps raise awareness impact gender #paygap #genderequity #equalpay...,disgust
120,kath_brentford bequietjustin bin services got badly hit impact equal pay,sadness
121,icymi: murray resolution recognizes impact wage gap women & need fix,disgust
122,equal,sadness
123,juliamacfarlane 1970 equal pay act enacted end 1975! 1975 eu equalpay directive,sadness
124,uk led way equal pay / rights without eu...?!,sadness
125,eu impact workers\xe2\x80\x99 rights number 6 - back pay equal pay,sadness
126,great wrap uswomen2016 talking policies usdol impact women,joy
127,thanks aauw lilly_ledbetter joining #workervoice summit dol today inspiring us speak,anger
128,lillyledbetter1 lack #equalpay long impact:,disgust
129,iwpresearch presents \xe2\x80\x98what-if\xe2\x80\x99 impact study #equalpay poverty rates,disgust
130,economic impact equal pay state,sadness
131,"whitehouse we've equal pay act since 1963. market factors (bad word government
 workers) impact salaries. can't run business
 like",sadness
132,women need greater say laws impact lives. demand #equalpay equal work & paid family,disgust
133,womenneedgreater sayinlaws impact lives demand #equalpay equaleork & paidfamilyleave #stateofwomen #cluwvotes,disgust
134,minimum,sadness
135,love hearing pattyarquette talk she\xe2\x80\x99s using success make impact equal,sadness
136,"proxy impact's #genderpaygap shareholder proposal goes vote tomorrow goggle
",guilt
137,... women\xe2\x80\x99s national,anger
138,#equalpay might economic,joy
139,jdportes concede point eu impact equal pay laws,sadness
140,markhalperin: clinton lacks economic vision: day,disgust
141,#gendergap family issue. impact lower pay hurts,disgust
142,economic impact equal pay state - women states,sadness
143,state-by-state data economic impact equal pay #singlemothers,joy
144,#equalpay women. inequalities impact #childpoverty especially #singleparent,disgust
145,robin wright realrobinwright) asked #equalpay role houseofcards & netflix agreed. global figures:,sadness
146,wizardofcause negative impact would passing equal pay laws simply appease believe,joy
147,understanding balance power impact negotiating position #negotiation #equalpay,joy
148,*cozy event focused equal pay & early childhood education* cozy really? issues profoundly impact economy,disgust
149,hillary clinton never attempted bernie sanders donald trump style mega-rally. latest why:,sadness
150,"find new us #equalpay regulations impact organization
 & take proactive steps take ensure equity:",disgust
151,q2: impact salary transparency #equalpay eliminating,sadness
152,"proxy impact co-files goggle
 shareholder resolution #genderpaygap arjunacapital",joy
153,"headshot
 danielle west articulates",disgust
154,equal,sadness
155,economic impact equal pay state - women states,sadness
156,impact international women's day & equal pay day,anger
157,#gender disparities impact,joy
158,"4 waging ""war",joy
159,\xe2\x80\x9c..we\xe2\x80\x99ve noticed investing women,joy
160,congress tackle issues impact american people. one issues would equal,joy
161,"nwsl wondering put contact rep speak with
 about
 uswnt equal pay & impact wprofessional",guilt
162,equal pay day ontario april 19th. plenty good info,sadness
163,educate #ontario's #gender #paygap c/ special insert today's,joy
164,"who'd thought financial barriers 2 accessing #justice would
 impact least able 2 afford it? #obvs #equalpay",disgust
165,introduction tribunal fees big impact ability women challenge unfair pay claims,sadness
166,great #equalpay report,joy
167,causes effects #paygap ? find new report: #equalpayday,guilt
168,paid,joy
169,whitehouse considered hosting #boardofdirectors #summit #equalpay allow first hand testimony impact wage,joy
170,allyauriemma equal pay day. caretakers impact income.,disgust
171,good,anger
172,men: equal pay much fight. owe,disgust
173,economic impact #equalpay state: poverty would cut half 28 states,joy
174,a3: #paygap impacted life many ways. can\xe2\x80\x99t forget lost wages impact retirement,disgust
175,"happening - discussing impact #paidleave policy #equalpay with
 sengillibrand thirdwaytweet. #equalpayday",joy
176,today equal pay day. time looked gap continue impact women:,anger
177,#equalpayday. part conversation?,sadness
178,learn domestic violence impact #equalpay. #equalpayday,guilt
179,failure ensure equal pay devalues female work also major universal economic impact - hilary,sadness
180,"sengillibrand thirdwaytweet & talk about
 impact #paidleave policy #equalpay 12pmet/11pmct. watch live:",guilt
181,economic impact equal pay state,sadness
182,equal pay day! may impact,disgust
183,tweet impact 'equal pay day',joy
184,tomorrow #equalpayday & important reminder it\xe2\x80\x99s past time close gender pay,disgust
185,"#equalpay people
 enter workforce recession make 15% less first 20yrs career. impact women &",joy
186,"took 6 weeks
 (surgery) saw impact salary increase",guilt
187,parental leave really looks like america,disgust
188,john highlights folly pfi contracts outstanding equal pay claims impact council,sadness
189,raising #minimumwage would greatly impact black women make 23% minimum wage,disgust
190,"aauw\'s ""negotiating impact"" teach negotiate salaries! today 5pm ise lab room
 467! #equalpay",sadness
191,we\xe2\x80\x99re giving today\xe2\x80\x99s college women tools need change,sadness
192,u.s. gender wage gap map shows impact women 40-year career via sfgate #equalpay,guilt
193,"mckinsey_mgi estimate mainly increasing women\'s lfp (""potential""). iwpresearch eco
 impact #equalpay",joy
194,instagram: paid,disgust
195,fourstar 45% would share though 1% men take up. it's catch 22 tied issue equal pay impact career,sadness
196,ussoccer_wnt abbywambach athletes,disgust
197,greater economic impact men shouldn't earn equal pay,sadness
198,badguyinc16 seem particularly affected frustrated something never even impact you. equal pay,sadness
199,#uswnt's fight equal pay make lasting impact women's sports.,disgust
200,wage discrimination impact even accomplished women. inspiring see fight #equalpay!,disgust
201,solidarity ussoccer_wnt fighting equal pay status. hopefully landmark impact equal pay beyond us,sadness
202,realdonaldtrump great start donald! say great,guilt
203,iwpresearch fact sheet highlights data impact equal pay 50 states plus,sadness
204,#equalpay long important us & we're excited join businesses even greater,disgust
205,important understand full impact #wagegap women #equalpay,disgust
206,#wagegap affects,joy
207,number women board director positive impact employees,anger
208,"tn sen. jimtracy: pay gap may mean women second
 job. panelists concur impact",disgust
209,pay gap negative impact families. brenda,disgust
210,#equalpay bill house would real impact. requires employer focus equity rather employee's previous,sadness
211,access reproductive health choices impact economic future,disgust
212,"ot register
 impact 5 million workers - mostly women college degrees. win equal",sadness
213,sentedcruz beat hillarys equal work equal pay secret law- impact huge! 1st president end discrimination,sadness
214,interesting read: economic impact equal pay state #women #money,sadness
215,j'aime une vid\xc3\xa9o youtube de heforshe - impact champion sigmundur dav\xc3\xad\xc3\xb0,sadness
216,impact champion sigmundur dav\xc3\xad\xc3\xb0,sadness
217,impact champion & pm #iceland sigmundur dav\xc3\xad\xc3\xb0 gunnlaugsson,sadness
218,impact champion stefan,sadness
219,fantastic impact champion stefan,disgust
220,believe sensanders would affect status women government policy great impact women's rights.equal pay equal,sadness
221,it's time. economic impact equal pay state,disgust
222,many things underneath #equalpay banner: wage,guilt
223,happy international women's day! shout ladies dagenham & impact equal pay rights: \xe2\x80\xa6,anger
224,kaustubhsumbre waglenikhil equal pay measurable implemented.it automatically impact,sadness
225,impact change equality #internationalwomensday #equalpay,disgust
226,insist equal pay white house women staff st. dept. women could made impact.,sadness
227,#hillary board #walmart 6 years said nothing support workers... #berniesanders #bernie,disgust
228,#incomeinequality extend #retirement. interesting statistics impact #equalpay,joy
229,thanks time platform issue day: equal pay: impact lifetime,disgust
230,pay gap one talks,joy
231,future,joy
232,pitch: value?,sadness
233,great see #equalpay bill impact! let's pass #ab1676 ncamposassembly equalrightsadv,guilt
234,economic impact equal pay state,sadness
235,economic impact equal pay us,sadness
236,institute women\xe2\x80\x99s policy research (ipwr): economic impact equal pay state,joy
237,live right now! top business attorney jeff kravitz discusses impact equal work equal pay act and...,sadness
238,drameljayne hepworthclare franceshinde sorry though,joy
239,"impact pay discrimination follow people careers, says nwlc\'s emily",joy
240,let's finally ensure equal pay equal work women would impact women color all.,disgust
241,pure horseshit! end stealing,sadness
242,"clinton hits stride contrasting sanders\' socialist ""theory"" progress across society - nevada now:",sadness
243,change overtime rules work impact you? know rights. #hbcu #equalpay,sadness
244,"50th_president women's rights are
 abortion & equal pay - impact every aspect",sadness
245,new california law impact equal pay: employers thought equal pay laws tough,sadness
246,feminist_tinder wonder realize fetishization objectification impact likelihood equal pay & job,sadness
247,astonishing impact also women would add equal pay economy.,sadness
248,economic impact nearly 8 billion hours service 63 million american volunteers astonishing:,disgust
249,could huge impact women workforce: eeoc wants firms reveal pay data,joy
250,wondering impact equal pay diversity? share thoughts.,anger
251,missouri legislature discussed bill create equal pay commission study impact wage gap.,joy
252,could significant impact economy - women huge consumers goods country#equalpay,disgust
253,ronwyden yes equal pay would create 4 women &,disgust
254,#uk2 close the#gender pay gap deserve#equalpay impact broad&wide&affects us,disgust
255,obama's latest #equalpay push means,sadness
256,would company reported pay info positively impact gaps create new inequities? #equalpay,joy
257,"essay day: ""the impact inequality"" richard g. wilkinson #equalpay",disgust
258,tweet impact #equalpay,joy
259,rt good news: we're taking new steps advance #equalpay women \xe2\x86\x92,disgust
260,berniesanders fight equal pay! raise minimum wage living,sadness
261,impact new legislation around equal pay work equal value? find breakfasts,sadness
262,women likely graduate college yet earn less. fixate millennials #equalpay greater impact?,sadness
263,truths empower millennial leaders via,sadness
264,compromise agreements ~ impact equal pay claims via,sadness
265,#demdebate far: addiction,disgust
266,watch asda employees equal pay claims . impact significant private sector #employers #employees,joy
267,wwla last night talking #equalpay bill impact women,guilt
268,_janetking impact clear statements reproductive rights equal pay far exceeds 'harm' jokes might,sadness
269,_janetking - oh come,guilt
270,#impact #women #workforce & #equal #pay needed bridge #gendergap,sadness
271,"#equalpay & culture overwork ""women\'s issues."" impact & harm everyone. q&a",disgust
272,california's equal pay act impact hollywood?...,sadness
273,new laws wide-ranging impact life california: renewable,disgust
274,california's brand new equal pay law sb 358 impact hollywood pay gap,sadness
275,2016 hours away flaiv focused future...making positive,sadness
276,\xe2\x80\xa6\nhow cities impact federal law taking stance across,joy
277,much impact 2016 budget equal pay case,sadness
278,'special case' ves impact equal pay distribution workforce particular,disgust
279,forget fiddling super rules help,sadness
280,jaredleto speaks equal pay & big impact small films #loscabosfilmfestival #loscabos4,disgust
281,paullewismoney 6ys extra,guilt
282,education impact #equalpay? \nwhat's #wagegap woc? \nwhat policies help?\n\nfor faqs &,sadness
283,can't believe we're still fight equal pay 21st century! let's make big impact today & men help,disgust
284,today equal pay day means women working free end year. impact 14% gender pay gap. think i'll go back home,disgust
285,big week done,guilt
286,"kathleenedavis fastcompany lydiabreakfast best way make impact 4 women 2 use buying power
 2 support companies equal",sadness
287,see & see women's impact influence debate within families. share stories & see change #equalpay,guilt
288,men tend talk politics often women likely say enjoy,guilt
289,start actually talking issues impact middle class economy? #equalpay #paidleave #raisethewage name,sadness
290,california's new pay law impact #paygap across country #equalpay,sadness
291,almostconvinced interesting issue this. ee code good practice may impact. equal pay work equal value.,sadness
292,"#behavioraleconomics & incentives_ impact equal pay norm optimal design incentive contract
",sadness
293,california's equal pay act impact hollywood?,sadness
294,businesses preparing flee california new equal pay law... hollywood fears impact movie stars...,sadness
295,sanajo air gave great,guilt
296,equal pay fairness impact bottom line? find,sadness
297,johnmcdonnellmp promising focus women economy & impact austerity them. need #equalpay need,disgust
298,nice see kind thing monetary impact.,disgust
299,,disgust
300,#height bias may unconscious huge impact qualified workers,joy
301,"definitely
 gonna keep fighting woman equal pay respect autonomy because
 direct impact",sadness
302,rnao: nurses worried impact precarious work people's health. equal pay & conditions part-timers,disgust
303,steuercarla article people fleeing war asking equal pay equal,sadness
304,chart shows equal pay act immediate impact women\xe2\x80\x99s full-time pay:,sadness
305,pmarca explains women don't get equal,sadness
306,v2drop hillaryclinton get equal,sadness
307,"looking 4ward 2 chairing event parliament next wednesday
 impact dagenham ford women equal pay britain",disgust
308,#equalpay day prompt consider unconscious bias use,joy
309,karimpalant alicharlo leabenne sowadally evidence impact equal pay & immigration economic success,sadness
310,wage gap impact women color ask?#womensequalityday #stillnotequal #equalpay #shevotes #equality95,sadness
311,think impact equal pay families. #equalpayawardsywca dedicated you!,disgust
312,1.5 hours in. still 0 mention issues really impact working,sadness
313,much #gopdebate thus far everything issues impact families daily...childcare,disgust
314,equal pay challenge: impact fashion sector -,sadness
315,#blackwomenequalpay day recognizes race gender impact wage gap via,disgust
316,"snodlogic business woman. concentrate areas you
 camera
 make social impact. high",disgust
317,really glad i've joined wi. idea much impact equal pay women,anger
318,social impact made? equal pay? took stand nasty fans indian wells tournament,sadness
319,get it. rt th1rty: deeznuts it's different kobe bryant tom,sadness
320,earning 20% less huge impact women's retirement nest,sadness
321,we\'re tired record labels petit bourgeois institutions don\'t really much impact #equalpay,sadness
322,start national campaign refusing watch men's national team demanding equal pay could impact,sadness
323,payscale shares insight house bill 1646 equal pay act's impact salary practices,sadness
324,"#equalpay debate. government
 minister boasting review emp tribunal fees. pointed know impact. 68% less",sadness
325,listening powerful testimony,disgust
326,#brightidea 11 official equal pay reporting starting nationally goal global impact,sadness
327,compromise agreements ~ impact equal pay claims via,sadness
328,mind equal pay gap... ed stacey discusses potential impact new,disgust
329,many poverty women single parent households. equal,sadness
330,"wizdom4you fair trade equal pay??? serves impact already economically marginals
 groups = big problem made",sadness
331,eliavasays impact,joy
332,seen 'made dagenham' inspiring. 1 fairness & equal pay (seem obvious now). 2 impact anyone could,sadness
333,sueashtiany single biggest impact women's pay minimum wage equal pay,sadness
334,repdonnaedwards talking,guilt
335,"avilarenata afford say that. it's like equal pay would much impact example
 priest payroll",disgust
336,discussing #nyequalpaybill crucial 2 think impact single mothers & racially diverse working,disgust
337,company makes social #impact,disgust
338,towerswatson: changes #equalpay regulations could large impact organisations. article could help\xe2\x80\xa6,joy
339,way,guilt
340,women workforce heads,joy
341,women make 78 cents every dollar men,fear
342,1 5 american children food,sadness
343,obama declares equal pay,disgust
344,nancypelosi reminds audience #equalpay low pay negative impact social security,joy
345,equal pay workplace,sadness
346,today equal pay day \xe2\x80\x93 find important topic impact,disgust
347,lilygriego shares,disgust
348,q2: wage gap\xe2\x80\x99s impact black,disgust
349,7 absurd things could impact #genderwagegap obvious,anger
350,simon deakin research assesses impact equal pay,joy
351,simon deakin assesses impact equal pay litigation & determines may potent agent social change:,joy
352,mrrbourne k_niemietz really? think race relations act/equal pay act,sadness
353,fishsports xxgiroux28xx restructuring money equal pay cut. however negatively impact cap,joy
354,,sadness
355,women men,guilt
356,#iwd2015 thinking dire impact employment tribunal fees struggle equal,joy
357,women tell impact,disgust
358,working story impact remarks made oscars impact equal,joy
359,hollywood stars use #oscars2015 stage platform - advocate issues like equal pay & #suicide. local impact:,joy
360,go ahead magically raise minimum wage. negative impact business.\n-no business leader,sadness
361,#equalpay #equalpayforwomen also applies midwives! reports midwives\xe2\x80\x99 salaries among lowest despite huge,guilt
362,,fear
363,steaknstiffarms i\xe2\x80\x99m favor equal pay it\xe2\x80\x99s dumb pretend impact maternity leave business isn\xe2\x80\x99t,sadness
364,morningmika led movement #knowyourvalue another approach equal pay women... media hype potential,sadness
365,negative impact equal pay act?,joy
366,news new hampshire employers: find changes state's equal pay law may impact business:,joy
367,what's impact penny? #letsdomore,anger
368,imagine impact equal pay would,sadness
369,i'm truly hurt fact woman much impact people would rather bitch braids...how equal,disgust
370,rt svnteenhundred: equal pay equal work age-old issue - impact inequality lifetime is.,sadness
371,landmark ruling #equalpay could huge impact working #women across #newzealand #nz,guilt
372,#ukemplaw done special podcast paul epstein qc equal pay impact recent,fear
373,equal pay equal work: impact have? read,sadness
374,"kelcie_w think woman's
 issues impact women matter",disgust
375,annmariecfoster jp_biz else would monitor impact equal pay,sadness
376,equal pay equal work\n\nwhat impact employment equity act business?\nclick link details,disgust
377,vote issues really impact,guilt
378,there's women working city we'd love see equal pay we'd really see impact,guilt
379,retailweek news proposed legal action asda equal pay could massive impact retail,joy
380,#midterms2014 impact health & economic security?,joy
381,confirmation,disgust
382,auditscotland finds #nhs fiscal pressures & yet fails look impact closing #equalpay gap -,disgust
383,supervisortang worried impact biz? i'm worried women struggling every day. need #equalpay,guilt
384,asda hit class action #equalpay - success could impact supermarkets #ukemplaw bbc news,guilt
385,interesting story asda equal pay #legislation could impact #business,disgust
386,pay confidentiality policies widespread & negative impact women\xe2\x80\x99s earnings. #wematter #equalpay,joy
387,what's impact penny? #letsdomore #equalpay,anger
388,huffingtonpost two important issues. equal pay birth control. impact life,disgust
389,edge: gender equality stamp approval could impact businesses\n#genderequality #equalpay,disgust
390,new rules equal pay,sadness
391,1/10 tribunal order #equalpay audit employer looses case-sadly extremely minimal impact,disgust
392,"equal_pay_city & make precious little difference sadly. everquest
 impact asses
 estimates two employers",guilt
393,pay inequality clear impact poverty wales. women get equal,sadness
394,what's impact penny? #letsdomore #equalpay,anger
395,failure pass equal pay act impact votes females cast house senate seats mid-term,sadness
396,idea companies don't equal pay audits denied public contacts &impact cuts education women,sadness
397,amyotto8 instapundit,sadness
398,"northdallas30 elizabethforma read \'impact\' section - ""the epa\xe2\x80\x99s equal pay equal work goals completely",sadness
399,pro-birth groups ever get equal,sadness
400,impact employment tribunal fees number #equalpay et claims.,disgust
401,impact #et fees equal pay et claims #ukemplaw #hr\nany,joy
402,"rt robmoss wondering 60 years until
 equal pay research considered impact enhanced shared parental pay",sadness
403,\xe2\x80\x9 lastweektonight: gender's impact pay gap: \n,disgust
404,scott walker repealed equal pay laws & opposes minimum wage increase would greatly impact women. correct.,sadness
405,wanted make impact,joy
406,"a2: #equalpay logically non-issue: makes hard people
 take seriously
 modern problem real",sadness
407,equal pay/contraception rights important + impact women big way things exclusively talking points female,sadness
408,compromise agreements ~ impact equal pay claims via,sadness
409,frew_murdoch liamarus thanks lia frew! employers keen understand impact equal pay eeaa new,disgust
410,cailinruadh psychoticstate ddickdetrick \nequal pay much worse minorities. abortion: poor can't travel.,joy
411,equal pay women would substantial impact ending homelessness #fteh14 smithcollege need stop,disgust
412,history equal pay act impact women | \xe2\x80\xa6,sadness
413,take 75 years women achieve equal pay men - \xe2\x80\xa6 via,sadness
414,"sb322 [complete] provides relative ""equal pay women act"". (8/1/14) (en impact see note)",sadness
415,espngreeny college sports turned free agency market would enjoy,sadness
416,what's estimated number equal pay audits tribunals order per year? impact assessment says two!,sadness
417,improved careers guidance & better understanding flexible working benefits would real impact equal pay,disgust
418,"reteets impact barackobama:retweet you
 agree:51 years
 equal pay",sadness
419,equal,sadness
420,small business group scoring vote today. we'll see impact support equal pay equal,disgust
421,schemaly feministabulous break day-to-day impact,disgust
422,negative economic impact eu's equal pay directive:,joy
423,equal pay test case brought asda employees could impact,sadness
424,could confidence level greater impact equal pay legislation?,sadness
425,gender differences business ethics--and potential impact pay,joy
426,"innovate with
 additive manufacturing w/girls too! impact future #equalpay women w/more #stem expertise ywca_nca visiting",disgust
427,asda equal pay test case could open door wave claims - could massive impact.,sadness
428,#uk #equalpay claim could significant impact retail,disgust
429,#equalpay would extremely interesting impact quite relationships (globally) ... #biology #sociology,disgust
430,epwvlaw libertius_iii support civil rights laws guaranteeing equal opportunity don't think equal pay laws,sadness
431,sqldba jorriss i'm back forth one...if pay,sadness
432,impact week women workforce? via,sadness
433,president obama\xe2\x80\x99s equal pay executive orders impact federal contractors jstennislaw,joy
434,wilw ap perhaps familiar existing equal pay act including studies impact.,sadness
435,national equal pay day impact hudson valley via,anger
436,"gag
 guy. obama talks equal pay women. coincidence? think",sadness
437,#equalpay4evry1 need education women/men applicable & projected impact,disgust
438,shriver q2. impact women excluded decision-making leadership,disgust
439,equal pay rhetoric going impact employer employee relationship. standout paid mediocre employee.,joy
440,struggle 4 #equalpay myth based disparate impact theories. mentality lowered standards firefighters,joy
441,equal pay orders could impact mid-south women,sadness
442,equal pay orders could impact mid-south women: president obama expected sign two executive orders are...,disgust
443,hearing important stories impact #equalpay,disgust
444,equal pay orders could impact women mid-south. what's pay gap state? actionnews5,sadness
445,sponsored resolution supporting #equalpay #pass #paycheckfairnessact graph: depicts impact,fear
446,#obama's new move #gender pay could impact lilly ledbetter act via tnr,sadness
447,impact mobile tech equal,sadness
448,great read brycecovert: obama's new move #equalpay could impact lilly ledbetter act via,disgust
449,impact univ. child care #equalpay?states spent per child big increases maternal employment,disgust
450,happy national equal pay day! check position paper pay equity impact economic stability...,sadness
451,obama's new move gender pay could impact lilly ledbetter act,sadness
452,w.h. push equal pay impact upcoming midterms? whiphoyer weighs,sadness
453,"april 8 equal pay day. pay gap still real with
 real impact",sadness
454,scharf: you're invited,sadness
455,since congress can't make progress equal,sadness
456,i'd rather play idea #equalpay legislation hand out. gender pay discrimination real economic impact,sadness
457,question week march,guilt
458,alyssarosenberg -,sadness
459,"impact china\'s new labor dispatch rules ""equal pay equal work"" principle #china #beijing #shanghai",sadness
460,#equalpay vote wendy,sadness
461,equal pay women make impact 2014 elections? discuss,sadness
462,"jane baalam delivering session chcs hour
 network impact equal pay organisations.",sadness
463,rt l3mmie: fantastic blog following #nutsew looking impact pay deregulation equal pay teaching :,sadness
464,"equal pay monkeys #inequality impact primates pure charm pure ""science""",anger
465,history equal pay act impact women.,sadness
